"combined_row","field","source","conversion"
8,"eCiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BP7",
8,"N_eCiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BQ7",
8,"gb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BR7",
8,"egb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BS7",
8,"N_egb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BT7",
8,"s1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BU7",
8,"es1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BV7",
8,"N_es1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BW7",
8,"s2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BX7",
8,"es2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BY7",
8,"N_es2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BZ7",
8,"s3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CA7",
8,"es3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CB7",
8,"N_es3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CC7",
8,"s4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CD7",
8,"es4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CE7",
8,"N_es4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CF7",
8,"s5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CG7",
8,"es5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CH7",
8,"N_es5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CI7",
9,"sample","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!O8",
9,"doi","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!D8",
9,"lat","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AA8",
9,"lon","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AB8",
9,"age_mean","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!V8",
9,"age_min","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!X8",
9,"age_max","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!W8",
9,"age_notes","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!Z8",
9,"family","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!P8",
9,"genus","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!Q8",
9,"Dab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AM8",
9,"eDab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AN8",
9,"N_eDab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AO8",
9,"Dad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AP8",
9,"eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AQ8",
9,"N_eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AR8",
9,"GCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AS8",
9,"eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AT8",
9,"N_eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AU8",
9,"GCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AV8",
9,"eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AW8",
9,"N_eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AX8",
9,"GCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AY8",
9,"eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AZ8",
9,"N_eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BA8",
9,"GCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BB8",
9,"eGCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BC8",
9,"N_eGCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BD8",
9,"d13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BE8",
9,"ed13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BF8",
9,"N_ed13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BG8",
9,"dv","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CL8",
9,"A0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BL8",
9,"eA0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BM8",
9,"N_eA0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BN8",
9,"CiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BO8",
9,"eCiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BP8",
9,"N_eCiCa0","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BQ8",
9,"gb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BR8",
9,"egb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BS8",
9,"N_egb","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BT8",
9,"s1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BU8",
9,"es1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BV8",
9,"N_es1","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BW8",
9,"s2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BX8",
9,"es2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BY8",
9,"N_es2","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BZ8",
9,"s3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CA8",
9,"es3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CB8",
9,"N_es3","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CC8",
9,"s4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CD8",
9,"es4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CE8",
9,"N_es4","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CF8",
9,"s5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CG8",
9,"es5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CH8",
9,"N_es5","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!CI8",
10,"sample","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!O9",
10,"doi","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!D9",
10,"lat","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AA9",
10,"lon","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AB9",
10,"age_mean","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!V9",
10,"age_min","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!X9",
10,"age_max","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!W9",
10,"age_notes","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!Z9",
10,"family","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!P9",
10,"genus","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!Q9",
10,"Dab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AM9",
10,"eDab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AN9",
10,"N_eDab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AO9",
10,"Dad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AP9",
10,"eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AQ9",
10,"N_eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AR9",
10,"GCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AS9",
10,"eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AT9",
10,"N_eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AU9",
10,"GCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AV9",
10,"eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AW9",
10,"N_eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AX9",
10,"GCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AY9",
10,"eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AZ9",
10,"N_eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BA9",
